POOL_ID	POOL_SIZE	FREE_BUFFERS	DATABASE_PAGES	OLD_DATABASE_PAGES	MODIFIED_DATABASE_PAGES	PENDING_DECOMPRESS	PENDING_READS	PENDING_FLUSH_LRU	PENDING_FLUSH_LIST	PAGES_MADE_YOUNG	PAGES_NOT_MADE_YOUNG	PAGES_MADE_YOUNG_RATE	PAGES_MADE_NOT_YOUNG_RATE	NUMBER_PAGES_READ	NUMBER_PAGES_CREATED	NUMBER_PAGES_WRITTEN	PAGES_READ_RATE	PAGES_CREATE_RATE	PAGES_WRITTEN_RATE	NUMBER_PAGES_GET	HIT_RATE	YOUNG_MAKE_PER_THOUSAND_GETS	NOT_YOUNG_MAKE_PER_THOUSAND_GETS	NUMBER_PAGES_READ_AHEAD	NUMBER_READ_AHEAD_EVICTED	READ_AHEAD_RATE	READ_AHEAD_EVICTED_RATE	LRU_IO_TOTAL	LRU_IO_CURRENT	UNCOMPRESS_TOTAL	UNCOMPRESS_CURRENT
0	1024	1	1022	395	0	0	0	0	0	62951	33188308	0	0	18128385	20902	3715647	0	0	0	62764012	0	0	0	0	3543	0	0	0	0	0	0
0	1024	1	1022	395	0	0	0	0	0	62951	33188308	0	0	18128385	20902	3715647	0	0	0	62764012	0	0	0	0	3543	0	0	0	0	0	0
0	1024	104	917	358	613	0	17	6	0	63026	33237675	7.499250074992501	4936.206379362064	18157310	20936	3720108	2892.210778922108	3.3996600339966005	446.05539446055394	62861107	703	0	508	0	3549	0	0.5999400059994001	32894	761	0	0
0	1024	0	1019	390	668	0	8	2	0	63102	33293760	6.90846286701209	5098.17289337333	18189397	20981	3724928	2916.734842287065	4.090537223888737	438.14198709208256	62965621	693	0	536	0	3561	0	1.09080992637033	67998	2974	0	0
0	1024	0	1020	396	497	0	22	2	0	63181	33351473	7.899210078992101	5770.722927707229	18220669	21020	3729726	3126.8873112688734	3.8996100389961006	479.7520247975203	63071154	704	0	546	0	3569	0	0.7999200079992002	106840	565	0	0
0	1024	0	1021	395	633	0	27	36	0	63340	33404952	15.898410158984102	5347.365263473653	18250542	21060	3734941	2987.001299870013	3.9996000399960008	521.4478552144786	63174467	711	1	517	0	3573	0	0.3999600039996001	141862	945	0	0
0	1024	143	878	344	304	0	19	2	0	63517	33456525	36.32122625791403	3182.605798067311	18279535	21097	3740029	1787.7374208597134	4.331889370209931	530.489836721093	63275079	740	5	463	0	3582	0	0	174793	2120	0	0
0	1024	0	1021	394	724	0	11	100	0	63676	33503649	15.898410158984102	4711.928807119289	18308688	21136	3744942	2915.0084991500853	3.8996100389961006	491.2508749125088	63378526	719	1	455	0	3587	0	0.4999500049995001	172039	25	0	0
0	1024	1	1018	389	889	0	21	100	0	63725	33564853	4.899510048995101	6119.788021197881	18340626	21177	3749495	3193.4806519348067	4.099590040995901	455.25447455254476	63485027	701	0	574	0	3593	0	0.5999400059994001	172514	773	0	0
0	1024	0	1020	395	572	0	19	0	0	63857	33614285	13.198680131986801	4942.705729427057	18368644	21213	3754727	2801.5198480151985	3.5996400359964005	523.1476852314769	63581387	710	1	512	0	3605	0	1.1998800119988002	169815	1651	0	0
