name	subsystem	count	max_count	min_count	avg_count
buffer_pool_wait_free	buffer	486464	486464	NULL	9.84944320712695
buffer_pool_read_ahead	buffer	0	0	NULL	0
buffer_pool_read_ahead_evicted	buffer	3549	3549	NULL	0.07185665114395627
buffer_pages_created	buffer	20936	20936	NULL	0.42389147600728894
buffer_pages_written	buffer	3720114	3720114	NULL	75.32119862320307
buffer_pages_read	buffer	18157311	18157311	NULL	367.63132212998585
buffer_data_reads	buffer	297491484672	297491484672	NULL	6023314.125774448
buffer_data_written	buffer	122664381952	122664381952	NULL	2483587.4053857056
os_data_reads	os	18122257	18122257	NULL	366.92158331646084
os_data_writes	os	4204942	4204942	NULL	85.13751771613687
os_data_fsyncs	os	949591	949591	NULL	19.226381858675847
os_log_bytes_written	os	764060160	764060160	NULL	15469.936424377403
os_log_fsyncs	os	139197	139197	NULL	2.8183235472767767
os_log_pending_fsyncs	os	0	1	0	0
os_log_pending_writes	os	0	1	0	0
log_waits	recovery	0	0	NULL	0
log_write_requests	recovery	1898227	1898227	NULL	38.43342781939664
log_writes	recovery	138209	138209	NULL	2.7983194978740635
adaptive_hash_searches	adaptive_hash_index	69299	69299	NULL	1.4030977930755213
ibuf_merges_insert	change_buffer	603280	603280	NULL	12.21461834379429
ibuf_merges_delete_mark	change_buffer	0	0	NULL	0
ibuf_merges_delete	change_buffer	0	0	NULL	0
ibuf_merges_discard_insert	change_buffer	0	0	NULL	0
ibuf_merges_discard_delete_mark	change_buffer	0	0	NULL	0
ibuf_merges_discard_delete	change_buffer	0	0	NULL	0
ibuf_merges	change_buffer	524333	524333	NULL	10.616177363838833
ibuf_size	change_buffer	9	269	NULL	0.0001822231220894918
innodb_activity_count	server	6115136	6115136	NULL	123.81324154687184
innodb_dblwr_writes	server	522412	522412	NULL	10.57728285077951
innodb_dblwr_pages_written	server	3720123	3720123	NULL	75.32138084632517
innodb_rwlock_s_spin_waits	server	1802431	1802431	NULL	36.49384490787609
innodb_rwlock_x_spin_waits	server	64734	64734	NULL	1.310670176149018
innodb_rwlock_s_spin_rounds	server	74800505	74800505	NULL	1514.4868394411824
innodb_rwlock_x_spin_rounds	server	7490193	7490193	NULL	151.65403927920633
innodb_rwlock_s_os_waits	server	2305581	2305581	NULL	46.68112978335696
innodb_rwlock_x_os_waits	server	234030	234030	NULL	4.738408584733752
dml_reads	dml	5667055	5667055	NULL	114.74093946142943
dml_inserts	dml	663475	663475	NULL	13.433387325369509
dml_deletes	dml	50996	50996	NULL	1.0325167037861915
dml_updates	dml	1326762	1326762	NULL	26.8629682121887
lock_row_lock_current_waits	lock	0	5	NULL	0
lock_row_lock_time	lock	3661883	3661883	NULL	74.12568571486408
lock_row_lock_waits	lock	1105	1105	NULL	0.022367968259751826
buffer_pool_reads	buffer	17689383	17689383	NULL	358.0774275824376
buffer_pool_read_requests	buffer	62965645	62965645	NULL	1274.5823971174673
buffer_pool_write_requests	buffer	10396575	10396575	NULL	210.45272362907633
buffer_pool_wait_free	buffer	487074	487074	NULL	9.85959798384648
buffer_pool_read_ahead	buffer	0	0	NULL	0
